Country,Code,Year,LifeExpectancy_LR,AirPollution,AlcoholConsumption,TempAnnualMean,Temp5YrSmooth,Adult Mortality_LR,infant deaths_LR,Alcohol_LR,percentage expenditure_LR,Hepatitis B_LR,Measles_LR,BMI_LR,under-five deaths_LR,Polio_LR,Total expenditure_LR,Diphtheria_LR,HIV/AIDS_LR,GDP_LR,Population_LR,thinness  1-19 years_LR,thinness 5-9 years_LR,Income composition of resources_LR,Schooling_LR,Mortality Rate under 5,TB_Cases_per_100k,Mean years of schooling,Share of Population Using Clean Cooking Fuels (%),Infant Mortality Rate – Total (per 100 births),Population Using Safe Water (%),Sterberate Alkohol,Sterberate Drogen,Primary energy consumption
Algeria,DZA,2003,71.9064,27.5018984382489,0.41,23.84,23.71,146.0,20.0,0.34,25.0185226,83.86914997675701,15374.0,47.0,23.0,87.0,3.6,87.0,0.1,294.33556,3243514.0,6.3,6.1,0.663,11.5,37.0,76.0,6.282,97.9,3.1642194,71.72697,0.1251302244166175,1.452045081212156,336.9221
Angola,AGO,2003,50.218,23.9811124380809,5.58,22.08,21.91,388.0,95.0,3.49,35.93349121,83.86914997675701,1196.0,16.8,155.0,4.0,4.41,4.0,2.4,779.468356,1823369.0,1.4,1.3,0.406,5.9,182.2,334.0,8.577655464699909,41.5,10.949408,64.71782099599137,0.992359980357235,1.206840822276377,41.6661
Antigua and Barbuda,ATG,2003,75.3125,17.9670703135057,5.1,19.46412393162393,19.46826617826618,151.0,0.0,7.16,1158.065259,99.0,0.0,4.1,0.0,99.0,4.53,99.0,0.1,9739.82556,13456563.520530397,3.5,3.5,0.0,0.0,14.0,1.5,8.577655464699909,100.0,1.1484324,64.71782099599137,4.621582963916578,5.27657352042996,2.40722
Argentina,ARG,2003,74.3073,16.6435724137411,5.84,15.22,14.93,137.0,11.0,7.62,57.58467352,73.0,0.0,55.7,13.0,95.0,8.22,96.0,0.1,333.4376,3839379.0,1.2,1.0,0.77,16.4,17.8,33.0,9.374,97.2,1.5931299,64.71782099599137,2.271073170009707,2.3750736467663724,701.5056
Armenia,ARM,2003,71.7343,27.5378873564374,4.03,7.51,7.94,134.0,1.0,3.03,7.341493148,93.0,4.0,48.1,1.0,96.0,5.56,94.0,0.1,93.1661567,31786.0,2.0,2.1,0.657,10.8,26.5,64.0,8.10662962962963,87.4,2.3408074,82.6919,1.6090815934131502,1.7450843310306623,30.428022
Australia,AUS,2003,80.4396,7.13120227271499,10.57,22.12,21.98,71.0,1.0,9.97,3829.550928,95.0,91.0,6.3,1.0,92.0,8.32,93.0,0.1,23465.38559,198954.0,0.7,0.7,0.905,20.6,5.9,5.5,11.574,100.0,0.49021655,64.71782099599137,1.648030679221365,5.427282568614074,1360.8622
Austria,AUT,2003,78.8491,18.6169292381771,12.53,7.37,7.31,88.0,0.0,12.2,504.4308735,83.0,90.0,51.7,0.0,84.0,1.48,84.0,0.1,3212.9355,8121423.0,1.7,1.9,0.837,14.7,5.2,13.0,9.706,100.0,0.4320527,97.23301,4.446027321283599,6.510135001038476,407.70358
Azerbaijan,AZE,2003,67.036,19.2603464043066,1.63,12.57,13.18,154.0,7.0,0.55,42.41491183,51.0,1978.0,43.6,8.0,79.0,6.56,77.0,0.1,883.6439965,82341.0,3.0,3.0,0.659,10.8,59.6,57.0,8.577655464699909,79.9,5.0258994,60.72896,2.3610577116600853,2.633572920272511,136.0352
Bahamas,BHS,2003,73.2126,18.6554974383063,4.56,25.58,25.47,189.0,0.0,10.68,0.0,88.0,0.0,56.7,0.0,93.0,5.62,92.0,0.1,8307.809811306384,13456563.520530397,2.6,2.5,0.783,12.2,16.7,13.0,8.577655464699909,100.0,1.4252988,64.71782099599137,3.163853447091224,3.636145744677096,12.155077
Bahrain,BHR,2003,75.4857,73.8799083460396,2.38,27.76,27.82,85.0,0.0,2.16,1214.558167,98.0,12.0,55.2,0.0,97.0,3.74,97.0,0.1,14221.99259,13456563.520530397,6.1,5.9,0.798,13.7,11.3,39.0,8.10662962962963,100.0,0.9688929,98.90153,0.3560273795857706,0.6009415393324494,129.08144
Bangladesh,BGD,2003,64.2877,54.4416560238779,0.003,25.76,25.95,161.0,196.0,0.01,35.48458957,5.0,4067.0,11.6,264.0,9.0,2.51,87.0,0.1,432.7388972,139191.0,2.3,2.9,0.484,7.9,70.9,221.0,5.214,8.5,5.4252524,55.278748,0.0111417027946033,0.3358365203824817,164.91576
Barbados,BRB,2003,74.8653,21.8668760588038,7.16,26.8,26.64,121.0,0.0,7.65,13.5139917,91.0,0.0,45.4,0.0,9.0,5.82,89.0,0.4,1228.5447,13456563.520530397,4.1,4.1,0.753,14.2,14.8,3.8,9.338,100.0,1.4004204,64.71782099599137,1.9299531590191683,2.2331685959834835,7.091297
Belarus,BLR,2003,68.4289,23.8005944482748,12.49,6.82,7.53,253.0,1.0,11.17,23.83578594,56.0,21.0,55.8,1.0,53.0,6.59,5.0,0.1,1819.525644,9796749.0,2.5,2.6,0.695,13.9,10.2,77.0,8.577655464699909,96.1,0.7873871,82.25976,29.423110510109968,34.07765613803664,254.55183
Belgium,BEL,2003,78.3203,18.1085002652024,11.41,10.79,10.88,95.0,0.0,11.28,507.306164,64.0,44.0,59.4,1.0,96.0,9.3,95.0,0.1,3743.95693,1376133.0,0.8,0.8,0.878,18.6,5.3,12.0,11.046,100.0,0.43922257,99.63135,3.626262684412125,5.177717407678713,761.691
Belize,BLZ,2003,69.8185,25.9062363191074,5.45,25.88,25.7,21.0,0.0,5.67,312.7995946,96.0,0.0,42.6,0.0,95.0,4.53,96.0,1.5,3679.99523,26913.0,3.6,3.6,0.684,12.2,22.1,42.0,10.538,81.8,1.8743417,64.71782099599137,1.840131809329021,2.053062976306865,2.5221746
Benin,BEN,2003,57.0924,50.38184649863,2.54,28.15,28.07,285.0,25.0,1.35,8.931827297,73.0,217.0,19.7,40.0,75.0,4.63,73.0,2.1,519.2922847,752555.0,9.1,9.0,0.416,7.7,126.5,78.0,3.634,1.5,7.952043,64.71782099599137,0.7245674749197653,0.7404327148486192,10.3935795
Bhutan,BTN,2003,64.6619,33.751263035198,1.85,10.32,10.49,273.0,1.0,0.52,19.15664091,95.0,0.0,15.5,1.0,96.0,4.9,95.0,0.2,997.7417141,623434.0,18.3,19.1,0.0,8.4,65.4,202.0,8.577655464699909,38.5,4.9930534,23.657469,0.4311195068781972,0.7790161664359515,6.76408
Bolivia,BOL,2003,63.4553,60.5276224516758,3.28,20.42,20.57,23.0,13.0,2.37,0.0,8.0,0.0,44.7,17.0,82.0,5.3,88.0,0.2,8307.809811306384,13456563.520530397,1.4,1.3,0.617,14.4,63.5,168.0,8.754,66.3,4.8007665,64.71782099599137,2.5906853894827173,3.010032241689343,54.696083
Bosnia and Herzegovina,BIH,2003,76.4487,38.4581184427201,5.16,19.46412393162393,19.46826617826618,12.0,0.0,4.14,39.86518043,83.86914997675701,18.0,49.4,0.0,87.0,7.94,87.0,0.1,2214.732246,3779247.0,3.0,3.0,0.0,12.1,8.0,59.0,8.577655464699909,50.2,0.70946574,87.71558,5.115945133874316,5.297247491110108,56.421043
Botswana,BWA,2003,52.8508,20.1595337663207,7.0,22.24,22.08,693.0,2.0,5.51,299.3671252,9.0,59.0,31.6,4.0,96.0,4.65,96.0,31.9,4163.6596,184339.0,1.9,1.8,0.567,11.8,78.5,816.0,8.10662962962963,49.65,3.9461105,64.71782099599137,0.9116530023514324,1.2286158743069806,16.179682
Brazil,BRA,2003,70.8841,15.4707715670693,8.41,25.42,25.43,172.0,88.0,6.95,15.85781237,97.0,2.0,46.1,100.0,99.0,6.94,99.0,0.1,359.587582,182482149.0,3.3,3.3,0.699,14.8,28.1,53.0,7.306,90.6,2.503253,77.26597,3.68858085053596,3.830097070455221,2394.621
Brunei,BRN,2003,74.5091,7.18894518991816,0.072,19.46412393162393,19.46826617826618,89.0,0.0,0.12,1406.51194,99.0,24.0,29.1,0.0,99.0,3.9,92.0,0.1,18555.56649,13456563.520530397,6.6,6.1,0.823,13.4,9.6,68.0,8.577655464699909,100.0,0.7918812,64.71782099599137,0.2220318166432492,0.7596980211362937,27.008535
Bulgaria,BGR,2003,72.3727,25.4532398256574,11.32,10.68,11.27,155.0,1.0,11.19,32.38616103,96.0,0.0,58.6,1.0,96.0,7.43,96.0,0.1,271.46824,7775327.0,2.3,2.4,0.729,12.9,15.1,52.0,10.226,63.38644140290847,1.2507722,91.2254,2.3140810855052663,3.0420885906874235,225.35255
Burkina Faso,BFA,2003,51.9586,62.0579085352073,8.23,19.46412393162393,19.46826617826618,332.0,49.0,4.58,41.60951275,83.86914997675701,2946.0,13.3,92.0,83.0,5.61,79.0,2.9,332.344351,12654621.0,1.7,1.3,0.0,3.8,164.3,66.0,8.577655464699909,3.4,8.5176115,64.71782099599137,0.9301107210040178,0.9446866425017932,5.4872313
Burundi,BDI,2003,50.997,29.6795256967738,6.85,20.94,20.68,387.0,24.0,5.84,6.545263634,83.86914997675701,224.0,13.5,38.0,75.0,5.25,82.0,5.1,112.849373,6953113.0,8.5,8.5,0.276,4.7,137.3,230.0,8.10662962962963,0.3,8.541532,64.71782099599137,1.2229749982291198,1.6695289351950562,1.078724
Cambodia,KHM,2003,62.3452,30.098509540539,2.25,27.3,27.35,268.0,21.0,1.44,55.59543946,83.86914997675701,653.0,13.1,26.0,69.0,6.74,69.0,1.9,362.4213785,12853124.0,11.6,11.7,0.445,9.3,78.0,539.0,4.012,5.3,6.1735387,18.410591,0.6097478510131481,0.7186098352570551,10.278974
Cameroon,CMR,2003,54.2528,42.4671529656498,11.16,24.85,24.84,412.0,60.0,4.64,67.63925302,83.86914997675701,899.0,22.3,95.0,72.0,4.97,73.0,7.7,824.8689393,16513822.0,7.2,7.3,0.452,8.1,134.7,321.0,5.94,12.8,8.190528,64.71782099599137,0.953991997485339,0.9733787187529174,25.016626
Canada,CAN,2003,79.7363,9.69060887185911,9.5,-3.96,-3.8,78.0,2.0,7.7,4687.845565,14.0,15.0,6.0,2.0,88.0,9.54,91.0,0.1,28172.14883,31676.0,0.5,0.4,0.877,15.8,6.2,5.9,12.05,100.0,0.526169,98.18011,2.944125874078257,6.340224417119874,3711.0212
Central African Republic,CAF,2003,47.3059,32.9894439959945,2.29,25.57,25.57,51.0,17.0,1.49,46.11619441,83.86914997675701,652.0,17.5,26.0,44.0,4.31,47.0,12.8,286.25819,3981665.0,1.0,1.1,0.316,5.6,156.0,540.0,8.10662962962963,0.5,10.358772,8.127789,1.3576713928152253,1.5891986032735386,1.3805084
Chad,TCD,2003,48.6095,55.8923266132371,2.95,27.78,27.66,43.0,44.0,0.42,3.979243535,83.86914997675701,15801.0,14.8,77.0,36.0,5.49,23.0,5.1,292.5914364,935321.0,1.9,1.8,0.284,5.4,173.4,152.0,8.577655464699909,2.4,9.537337,5.6178207,0.8149312442729163,0.8300951299258625,0.966632
Chile,CHL,2003,77.8841,27.1654672454526,6.66,9.44,9.21,1.0,2.0,6.37,584.0993429,83.86914997675701,1.0,56.1,2.0,96.0,7.34,96.0,0.1,4787.699532,15799542.0,1.0,1.0,0.775,14.0,9.5,16.0,9.74,100.0,0.8102864,93.47617,3.151329489773972,3.367676365847702,322.48972
China,CHN,2003,73.3853,51.2610436241453,3.25,19.46412393162393,19.46826617826618,13.0,391.0,2.96,122.9365349,75.0,71879.0,22.6,467.0,87.0,4.82,86.0,0.1,1288.642924,12884.0,5.3,4.7,0.61,9.9,28.9,97.0,7.928,44.3,2.3460474,64.71782099599137,1.3721729343501312,2.731416131078431,15818.756
Colombia,COL,2003,72.3086,22.8825675533076,5.14,25.08,24.87,15.0,16.0,4.25,417.8038898,92.0,0.0,49.0,19.0,92.0,5.92,92.0,0.1,2246.257472,42152151.0,2.5,2.2,0.659,11.6,22.8,35.0,7.384,80.7,1.9421923,69.4828,0.2143930497601289,0.468444625883743,322.86337
Comoros,COM,2003,60.2402,12.0484914054266,0.38,23.66,23.66,271.0,2.0,0.26,45.09010835,28.0,0.0,18.4,2.0,8.0,3.65,8.0,0.1,544.566526,583211.0,7.6,7.6,0.0,9.2,70.7,37.0,8.577655464699909,1.0,6.535047,64.71782099599137,1.0534233964389226,1.6792079835218712,0.58846456
Costa Rica,CRI,2003,78.2142,20.7436900349618,4.5,25.03,24.8,1.0,1.0,4.04,1070.268999,86.0,1.0,48.3,1.0,88.0,8.45,88.0,0.1,4167.71417,4125971.0,2.2,2.1,0.715,12.1,11.8,16.0,8.296,89.9,1.0047333,77.40466,1.2348401225384893,1.6175757564178834,46.03843
Cote d'Ivoire,CIV,2003,51.4432,50.3579617689732,4.35,26.84,26.84,473.0,64.0,3.12,0.0,63.0,4770.0,2.9,92.0,68.0,4.65,61.0,6.7,8307.809811306384,13456563.520530397,7.5,7.5,0.6598513368983958,12.4773440285205,129.6,309.0,8.577655464699909,16.5,8.794031,24.08593,1.0819462961586297,1.100104072390289,31.913124
Croatia,HRV,2003,74.7093,24.0769485978838,10.54,11.88,11.83,122.0,0.0,13.78,93.67706503,83.86914997675701,19.0,56.3,0.0,95.0,6.35,94.0,0.1,785.881418,444.0,1.9,1.9,0.765,12.9,8.2,36.0,8.10662962962963,100.0,0.633407,85.25168,4.95013322934699,6.613163413677012,106.3196
Cuba,CUB,2003,77.4048,20.1976249122847,5.71,25.92,25.78,18.0,1.0,4.39,60.34145124,99.0,0.0,52.1,1.0,98.0,6.31,72.0,0.1,3192.669378,13456563.520530397,3.5,3.3,0.694,12.9,7.6,8.6,10.168,78.9,0.6080779,64.71782099599137,2.7404705643273326,2.8798878866819053,103.83843
Cyprus,CYP,2003,78.9081,19.8757470128298,9.79,18.98,18.98,66.0,0.0,10.62,158.7087399,88.0,0.0,54.3,0.0,98.0,6.83,98.0,0.1,2293.4789,993563.0,0.9,1.0,0.815,13.0,5.4,4.0,10.442,100.0,0.45422393,95.84554,0.7726055781879011,2.055085032499256,32.0883
Denmark,DNK,2003,77.4012,14.742653395412,11.55,8.75,9.14,11.0,0.0,11.54,650.9813544,83.86914997675701,0.0,53.9,0.0,96.0,9.51,96.0,0.1,4458.7764,539574.0,1.2,1.0,0.882,16.3,5.2,8.3,11.686,100.0,0.43590665,94.021545,13.652844939287329,17.507729436889587,255.23254
Djibouti,DJI,2003,58.0406,40.1033908297196,0.67,28.62,28.52,325.0,2.0,1.02,94.13302875,83.86914997675701,37.0,29.4,2.0,68.0,6.22,68.0,4.2,819.974118,758615.0,6.1,5.9,0.378,3.5,92.4,501.0,8.577655464699909,4.3,7.412435,64.71782099599137,1.270728810819156,1.9970438628708904,3.6626916
Dominican Republic,DOM,2003,70.8562,18.5910355134394,7.45,24.7,24.52,22.0,7.0,6.32,293.0196601,79.0,0.0,46.1,8.0,65.0,5.53,79.0,2.3,2372.628827,896776.0,3.6,3.5,0.665,12.4,37.3,68.0,7.336,85.6,3.0475225,42.37859,0.9629716093793468,1.0593392818203051,81.2121
East Timor,TLS,2003,60.1304,20.882655018788,0.5,24.86,24.55,25.0,3.0,0.44,46.3913277,83.86914997675701,94.0,12.9,4.0,55.0,2.48,55.0,0.1,471.4565823,96852.0,12.1,12.1,0.485,9.8,96.1,498.0,8.577655464699909,1.7,7.68373,64.71782099599137,0.3676400753815587,0.446986286955439,0.6991211
Ecuador,ECU,2003,73.632,43.0473470554907,3.92,21.33,21.19,151.0,8.0,3.69,18.26183281,82.0,0.0,45.8,10.0,97.0,6.46,87.0,0.3,244.46898,1328961.0,1.5,1.4,0.679,12.6,25.7,64.0,7.584,90.5,2.1457734,59.74421,3.973973961196621,4.3651160188311975,106.60742
Egypt,EGY,2003,68.0451,60.7246100249955,0.14,23.07,23.06,178.0,59.0,0.15,0.0,98.0,164.0,52.3,72.0,98.0,5.41,98.0,0.1,8307.809811306384,13456563.520530397,3.3,3.3,0.621,11.3,39.4,23.0,6.678,92.1,3.2027817,64.71782099599137,0.033241315649969,0.1013135731629354,645.99164
El Salvador,SLV,2003,68.7918,30.0717063191467,3.24,19.46412393162393,19.46826617826618,29.0,3.0,3.1,400.1342971,94.0,0.0,47.8,4.0,93.0,7.61,94.0,0.3,2519.737387,5971535.0,2.0,1.9,0.628,12.0,27.0,29.0,7.664,64.0,2.332275,64.71782099599137,13.67097546925574,14.197817116614912,33.36593
Equatorial Guinea,GNQ,2003,54.7913,32.5118032226669,8.5,19.46412393162393,19.46826617826618,334.0,3.0,7.13,309.7834587,83.86914997675701,18.0,19.5,4.0,46.0,2.23,37.0,3.6,3577.176197,694611.0,1.2,1.1,0.554,8.4,142.5,187.0,8.577655464699909,20.0,9.890191,64.71782099599137,0.7672880852054361,0.9928642457044414,30.617418
Eritrea,ERI,2003,59.4551,41.3525620117836,0.86,26.64,26.66,343.0,7.0,0.56,6.913998013,91.0,376.0,13.3,10.0,95.0,3.5,93.0,1.9,232.7945459,3738265.0,9.7,9.7,0.0,4.7,73.8,299.0,8.577655464699909,4.8,4.975913,64.71782099599137,1.3597881191547276,1.9247507449470016,3.1118126
Estonia,EST,2003,71.923,10.3301268581838,12.5,5.8,6.42,199.0,0.0,11.64,132.7233922,83.86914997675701,0.0,54.9,0.0,95.0,4.92,94.0,0.1,7174.237415,13772.0,2.2,2.3,0.798,15.6,8.5,49.0,8.10662962962963,100.0,0.6729998,92.67468,24.600804809519595,30.020759055439317,62.815613
Eswatini,SWZ,2003,44.6321,21.7499989661246,8.63,20.69,20.52,6.0,3.0,5.65,2.819124474,9.0,350.0,27.1,4.0,87.0,5.71,85.0,50.6,22.99449,187392.0,8.2,8.4,0.493,9.1,115.7,1270.0,4.632,28.2,7.156498,64.71782099599137,1.087197198812726,1.5160023463582852,5.991857
Ethiopia,ETH,2003,52.8773,27.5918951202344,1.14,23.46,23.41,363.0,228.0,0.79,10.97201912,83.86914997675701,228.0,13.2,360.0,55.0,4.64,37.0,4.4,118.8734466,72545144.0,11.6,11.5,0.306,5.2,121.4,376.0,8.577655464699909,1.0,7.6966524,5.7762012,0.9089120942201104,1.0571430216273916,23.357014
Fiji,FJI,2003,65.6531,12.9523780036188,2.45,24.71,24.78,22.0,0.0,1.76,253.8196705,99.0,305.0,53.2,0.0,95.0,3.35,94.0,0.1,2835.973972,816628.0,4.2,3.9,0.689,13.3,22.8,28.0,9.844,28.8,1.9379959,39.530018,0.0982168377691186,0.348698170502723,7.4821954
Finland,FIN,2003,78.5334,7.73384704624823,10.45,2.24,2.51,98.0,0.0,9.31,3869.026302,83.86914997675701,0.0,57.1,0.0,96.0,8.15,98.0,0.1,32816.1688,521314.0,0.9,0.8,0.866,18.1,4.0,8.7,10.212,100.0,0.32510287,95.00154,12.848692118639711,16.73857548642421,394.92767
France,FRA,2003,79.419,15.3886822893843,13.26,11.88,11.7,99.0,3.0,13.49,4572.441963,28.0,0.0,56.4,4.0,96.0,1.43,97.0,0.1,29691.18158,62244884.0,0.6,0.6,0.852,15.4,4.9,12.0,10.604,100.0,0.35840926,97.345406,6.0450278874363885,7.814714736702824,3153.0417
Gabon,GAB,2003,62.4627,27.4214539843078,8.28,25.27,25.27,32.0,2.0,6.47,352.232365,83.86914997675701,0.0,29.8,3.0,44.0,3.48,45.0,11.0,4892.11618,1328146.0,7.5,7.4,0.638,12.3,68.1,590.0,8.10662962962963,69.7,5.0173106,64.71782099599137,1.4688234887950058,1.8533820541145452,12.050283
Georgia,GEO,2003,71.3766,15.2342270045445,10.46,8.58,9.06,132.0,1.0,3.36,70.54185252,48.0,216.0,47.5,2.0,74.0,8.49,75.0,0.1,928.18227,431.0,2.9,3.0,0.684,11.8,28.7,210.0,8.577655464699909,50.7,2.5298643,64.3997,2.007909032639433,2.5123199432097185,38.952213
Germany,DEU,2003,78.5361,17.0534186624295,13.26,9.57,9.71,9.0,3.0,11.92,582.6157028,9.0,779.0,56.6,4.0,96.0,1.62,97.0,0.1,3359.95215,82534176.0,1.1,1.1,0.872,16.3,5.0,9.5,11.424,100.0,0.4086032,99.84291,7.036613200791107,8.821104210192365,4010.471
Ghana,GHA,2003,59.0141,54.55157468354,5.22,27.71,27.67,38.0,41.0,1.53,31.09435342,8.0,1939.0,21.2,63.0,8.0,3.12,8.0,3.4,373.2815537,2446782.0,8.6,8.5,0.489,7.9,88.5,209.0,7.036,8.1,5.8188567,14.411008,1.061432784276904,1.077058247108548,35.093052
Greece,GRC,2003,79.0848,23.3884257573202,8.85,14.08,14.28,81.0,0.0,9.46,2124.921517,92.0,0.0,59.2,1.0,93.0,8.61,94.0,0.1,18477.57841,19287.0,0.8,0.8,0.823,15.2,5.2,6.1,10.53,100.0,0.44315243,99.35515,0.3478910749041805,3.010416778907973,398.31604
Grenada,GRD,2003,73.2907,22.577847847533,7.92,26.63,26.53,173.0,0.0,9.75,77.9454329,97.0,0.0,39.4,0.0,98.0,5.89,97.0,0.1,5773.73577,13456563.520530397,4.0,4.1,0.0,14.6,14.9,2.2,8.577655464699909,93.1,1.2575556,81.402985,2.5985688951486603,3.625325515388807,0.9761637
Guatemala,GTM,2003,68.2041,33.5005185285342,2.31,23.82,23.64,24.0,15.0,2.45,249.3262948,83.86914997675701,0.0,42.4,19.0,84.0,6.88,84.0,0.4,1753.349471,125478.0,1.4,1.4,0.56,9.0,46.1,26.0,4.338,38.7,3.686664,48.26304,10.011446273872766,10.661293788600092,55.09398
Guinea,GIN,2003,53.5891,45.0214167699546,0.39,25.93,25.94,338.0,34.0,0.18,2.39524067,83.86914997675701,2497.0,17.7,55.0,61.0,3.45,57.0,2.9,37.1931781,939848.0,9.7,9.7,0.338,5.9,146.4,218.0,8.577655464699909,0.8,9.045083,64.71782099599137,0.837113861905097,0.8580731176580239,8.628773
Guinea-Bissau,GNB,2003,52.186,50.8821651561039,3.81,28.01,28.03,38.0,5.0,2.16,2.527115422,83.86914997675701,1158.0,19.0,8.0,65.0,5.62,6.0,4.6,36.5718585,132122.0,9.6,9.5,0.0,7.4,157.0,342.0,8.577655464699909,1.3,9.590265,18.667349,1.127479571146169,1.1455368916154351,1.2056919
Guyana,GUY,2003,64.1173,25.5932264409115,6.12,26.36,26.19,237.0,1.0,7.93,16.47949015,9.0,0.0,37.8,1.0,91.0,5.97,9.0,2.1,986.7958173,751857.0,5.8,5.6,0.611,11.1,43.2,104.0,8.646,42.6,3.4744153,64.71782099599137,1.7383409082021222,1.87555044001054,7.060015
Haiti,HTI,2003,59.4398,19.6705719275103,4.09,25.13,24.95,3.0,18.0,6.64,44.25687135,83.86914997675701,0.0,36.5,25.0,56.0,5.32,53.0,4.6,329.782946,8976552.0,4.5,4.6,0.447,8.1,94.0,277.0,4.716,3.0,6.816201,64.71782099599137,2.543689299707828,2.807424104143547,7.705837
Honduras,HND,2003,68.8741,29.4430738497488,3.31,24.9,24.71,166.0,6.0,3.04,194.4335736,91.0,0.0,41.2,7.0,92.0,8.29,92.0,1.4,1157.3427,733821.0,2.6,2.5,0.566,10.3,32.6,71.0,6.092,34.6,2.700277,43.520744,3.219099566964497,3.9589940398207184,29.437044
Hungary,HUN,2003,72.5135,21.5344986819374,12.69,11.12,11.35,184.0,1.0,13.24,1030.220271,83.86914997675701,0.0,57.6,1.0,99.0,8.42,99.0,0.1,8396.25323,1129552.0,2.1,2.1,0.784,14.9,8.4,31.0,11.762,100.0,0.71619606,86.7113,5.891417429705922,6.34368527769856,284.3871
Iceland,ISL,2003,80.7678,7.25851087930184,7.16,2.74,2.08,65.0,0.0,6.61,725.4853161,83.86914997675701,0.0,55.9,0.0,97.0,1.7,97.0,0.1,3944.999,289521.0,1.0,0.9,0.866,17.6,3.4,2.0,10.566,100.0,0.26985705,91.76119,2.2464158894524355,5.170120161024896,35.086388
India,IND,2003,64.0862,62.766353963477,2.21,19.46412393162393,19.46826617826618,216.0,1700.0,1.19,19.4808682,83.86914997675701,47147.0,12.6,2200.0,57.0,4.3,61.0,0.3,541.1352279,11827848.0,27.3,28.3,0.505,8.6,81.1,318.0,5.684,25.7,6.0619836,64.71782099599137,1.3827596631578454,1.9131396030825885,4008.7097
Indonesia,IDN,2003,67.134,25.1975719602112,0.074,25.92,25.94,189.0,173.0,0.05,8.460155758,64.0,24457.0,17.5,215.0,8.0,2.53,71.0,0.1,164.59447,22545214.0,1.9,11.0,0.613,10.8,45.2,366.0,6.172,11.0,3.6236374,24.543207,0.0900840540742294,0.1878993982544169,1389.068
Iran,IRN,2003,70.4642,35.3796612622671,0.044,18.2,18.59,154.0,29.0,0.01,0.0,98.0,11644.0,46.9,35.0,99.0,5.42,99.0,0.1,8307.809811306384,13456563.520530397,7.5,7.7,0.679,11.8,30.2,20.0,8.158,94.5,2.526524,91.01405,0.1964907003066601,4.483310608647774,1656.1945
Iraq,IRQ,2003,64.8339,42.2720869159646,0.058,22.85,23.01,213.0,30.0,0.07,0.0,63.0,0.0,51.3,37.0,73.0,4.36,75.0,0.1,8307.809811306384,25627626.0,5.5,5.2,0.616,9.4,41.6,49.0,6.452,81.1,3.3661857,51.668495,0.0032292040442836,1.3230459851552654,304.07303
Ireland,IRL,2003,78.1003,12.1728497272074,14.43,19.46412393162393,19.46826617826618,82.0,0.0,13.24,675.2134725,83.86914997675701,584.0,53.6,0.0,86.0,7.5,86.0,0.1,4117.15532,3996521.0,0.3,0.2,0.87,16.8,6.0,12.0,11.492,100.0,0.50781393,64.77273,1.8178820208759991,4.840828609329789,176.85468
Israel,ISR,2003,79.8194,25.0639764650502,2.83,19.9,19.84,71.0,1.0,2.32,1731.755747,98.0,124.0,59.6,1.0,93.0,7.44,93.0,0.1,18946.99942,66897.0,1.1,1.1,0.863,16.0,6.1,8.4,8.10662962962963,100.0,0.49348012,99.743614,1.161226047757742,2.5644149522463624,238.83598
Italy,ITA,2003,80.191,24.6281664348107,9.57,13.48,13.2,72.0,2.0,9.3,3519.258515,95.0,10982.0,57.0,3.0,97.0,8.17,96.0,0.1,27387.2258,5731323.0,0.5,0.5,0.841,15.4,4.8,8.7,10.012,100.0,0.40948215,95.424866,0.5082883022243034,1.6113281527282497,2149.7844
Jamaica,JAM,2003,71.5846,15.9514800367871,3.1,26.18,25.99,166.0,1.0,3.48,155.5884677,36.0,0.0,44.5,1.0,99.0,4.56,96.0,2.3,3465.221998,2712511.0,1.9,1.8,0.694,11.9,19.4,5.5,9.89,79.6,1.6523879,64.71782099599137,0.2544014400724608,0.4196031323006153,45.48951
Japan,JPN,2003,81.854,12.7497537681119,7.27,11.41,11.83,7.0,3.0,7.83,578.7254273,83.86914997675701,8286.0,23.4,5.0,97.0,8.0,97.0,0.1,3488.3992,127718.0,1.7,1.4,0.863,14.8,4.0,29.0,11.98,100.0,0.29244518,97.85424,0.4055121254668083,0.6629180392493244,6162.9126
Jordan,JOR,2003,72.585,27.0384591936207,0.49,19.5,19.48,127.0,4.0,0.54,228.7838108,97.0,76.0,56.3,4.0,97.0,9.15,97.0,0.1,1889.213962,5396774.0,3.9,3.9,0.717,13.2,23.5,7.4,9.14,99.8,2.0877173,53.50227,0.0479836071865632,0.1993873073870569,72.97168
Kazakhstan,KAZ,2003,64.7533,16.4611766469412,6.99,6.6,7.54,282.0,8.0,6.58,23.43400762,99.0,24.0,45.3,9.0,99.0,3.7,99.0,0.1,268.123657,149918.0,2.5,2.6,0.714,13.1,35.4,196.0,8.10662962962963,87.1,3.065051,66.50294,16.710371246586405,20.13051039699869,464.69073
Kenya,KEN,2003,57.3694,19.5827552431843,2.06,25.35,25.14,437.0,74.0,1.49,35.85204668,73.0,65.0,15.5,115.0,75.0,4.45,73.0,14.5,436.6875357,3413852.0,8.8,8.8,0.45,8.2,81.6,610.0,6.252,3.0,5.0209064,64.71782099599137,0.7981460637007718,1.017952092310491,44.622013
